timestamp,Basel Temperature [2 m elevation corrected],Basel Soil Moisture [0-10 cm down]
20220123T1600,4.8905287,0.273
20220123T1700,3.2305286,0.272
20220123T1800,2.1405284,0.272
20220123T1900,1.5905286,0.272
20220123T2000,1.3105286,0.271
20220123T2100,1.3005286,0.271
20220123T2200,1.5205287,0.271
20220123T2300,0.98052865,0.271
20220124T0000,0.85052866,0.271
20220124T0100,0.7105287,0.271
20220124T0200,0.39052868,0.271
20220124T0300,0.12052866,0.271
20220124T0400,0.17052865,0.271
20220124T0500,0.09052865,0.271
20220124T0600,-0.31947133,0.27
20220124T0700,-0.65947133,0.271
20220124T0800,-0.07947134,0.271
20220124T0900,1.0005287,0.271
20220124T1000,2.4805286,0.271
20220124T1100,3.9305286,0.27
20220124T1200,5.2605286,0.265
20220124T1300,6.3805285,0.264
20220124T1400,6.8605285,0.264
20220124T1500,6.6205287,0.263
20220124T1600,5.5305285,0.263
20220124T1700,3.9905286,0.263
20220124T1800,1.6005287,0.263
20220124T1900,0.74052864,0.263
20220124T2000,0.37052867,0.263
20220124T2100,-0.23947135,0.263
20220124T2200,-0.5394713,0.263
20220124T2300,-0.33947134,0.263
20220125T0000,0.010528658,0.263
20220125T0100,0.040528655,0.263
20220125T0200,0.070528656,0.263
20220125T0300,0.35052866,0.263
20220125T0400,1.0205287,0.263
20220125T0500,1.7805287,0.263
20220125T0600,2.1205285,0.262
20220125T0700,2.2305286,0.262
20220125T0800,2.1605287,0.263
20220125T0900,2.6105285,0.263
20220125T1000,4.0505285,0.263
20220125T1100,5.1305285,0.263
20220125T1200,4.5005283,0.265
20220125T1300,5.8305287,0.265
20220125T1400,6.8205285,0.265
20220125T1500,6.9305286,0.264
20220125T1600,6.6905284,0.264
20220125T1700,6.2105284,0.264
20220125T1800,5.4105287,0.264
20220125T1900,5.2305284,0.264
20220125T2000,4.8005285,0.264
20220125T2100,2.7505286,0.264
20220125T2200,2.5005286,0.264
20220125T2300,2.8905284,0.264
20220126T0000,2.8405285,0.264
20220126T0100,2.5105286,0.264
20220126T0200,2.4005284,0.264
20220126T0300,2.6005285,0.264
20220126T0400,2.4105287,0.264
20220126T0500,1.9505286,0.264
20220126T0600,0.93052864,0.264
20220126T0700,0.47052866,0.264
20220126T0800,0.74052864,0.264
20220126T0900,2.1505284,0.264
20220126T1000,3.5805285,0.264
20220126T1100,4.6705284,0.263
20220126T1200,5.9405284,0.264
20220126T1300,7.2705283,0.263
20220126T1400,7.5705285,0.263
20220126T1500,7.2005286,0.262
20220126T1600,6.1205287,0.262
20220126T1700,5.3005285,0.262
20220126T1800,4.2405286,0.262
20220126T1900,3.6205285,0.262
20220126T2000,2.8105285,0.262
20220126T2100,2.5605285,0.262
20220126T2200,2.2605286,0.262
20220126T2300,1.9405286,0.262
20220127T0000,1.9105287,0.262
20220127T0100,1.9805287,0.262
20220127T0200,1.6905286,0.262
20220127T0300,1.4405286,0.262
20220127T0400,1.4305286,0.262
20220127T0500,1.6005287,0.262
